"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","255","02. Should display error message on invalid credentials","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","5","10. Should display Masters & Sub Masters tiles","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","290","22b. Capture all entered form data and save to buyerPO.json","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","8264","22. Fill in all line item details (Delivery No, Dates)","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","2029","23. Click Save/Create button to save the form","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","9","14. Verify Buyer PO Upload form loaded","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","256","06. Should display all tile group headers","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","1613","05. Navigate to home page","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","32325","29b. Add all segment line items","firefox","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","10","07. Should display Merchandising Process tiles","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","194","22b. Capture all entered form data and save to buyerPO.json","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","52","28. Click Create button on Segment Master list","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","16360","13. Click Create button","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","5086","19. Read Excel file and verify data loaded","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","12","10. Should display Masters & Sub Masters tiles","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","34463","03. Should successfully login with valid credentials and save auth","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","32","15. Verify form fields are visible","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","1678","25. Verify saved record appears in the Buyer PO Upload list","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","4","12. Verify Buyer PO Upload page loaded","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","65193","29. Enter name in Segment Master Create form","webkit","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","16133","13. Click Create button","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","38","21. Enter Remark","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","35633","03. Should successfully login with valid credentials and save auth","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","9","10. Should display Masters & Sub Masters tiles","webkit","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","49","11. Click on Buyer PO Upload tile","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","296","29. Enter name in Segment Master Create form","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","32269","29b. Add all segment line items","chromium","2026-05-17","failed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","24","21. Enter Remark","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","15","11. Click on Buyer PO Upload tile","chromium","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
"","3470","20. Fill form: Select supplier, enter PO Date and Kimble Number","firefox","2026-05-17","passed","2026-05-17","Apperal Module | Regression Test Suite","","",""
